ItemType,ItemName,Color,AestheticID,OccasionID,SuitableGender
Topwear,Satin Dress,Pastel Pink,1,1,Female
Topwear,Satin Dress,White,1,1,Female
Topwear,Satin Dress,Pastel Blue,1,1,Female
Topwear,Lacy Crop Top,White,1,1,Female
Topwear,Lacy Crop Top,Peach,1,1,Female
Topwear,Lacy Crop Top,Lavender,1,1,Female
Topwear,Backless Corset Top,Light Pink,1,1,Female
Topwear,Backless Corset Top,Pastel Green,1,1,Female
Bottomwear,Bell Bottoms,Light Blue,1,1,Female
Bottomwear,Bell Bottoms,Dark Blue,1,1,Female
Bottomwear, A-Line mini Skirt,White,1,1,Female
Bottomwear,A-Line mini Skirt,Light Pink,1,1,Female
Footwear,White Pointed Heels,White,1,1,Female
Footwear,Black Pointed Heels,Black,1,1,Female
Footwear,Beige Pointed Heels,Beige,1,1,Female
Accessories,White Handbag,White,1,1,Female
Accessories,Pastel Pink Handbag,Pastel Pink,1,1,Female
Accessories,Beige Handbag,Beige,1,1,Female
Accessories,Pearl Stud Earrings,White,1,1,Female
Accessories,Gold Hoop Earrings,Gold,1,1,Female
Topwear,Satin Shirt,Pastel Pink,1,1,Male
Topwear,Soft Knit Sweater,Lavender,1,1,Male
Topwear,V-Neck Knit Top,Baby Blue,1,1,Male
Topwear,Casual Blazer,Light Blue,1,1,Male
Topwear,Chiffon Shirt,Light Green,1,1,Male
Topwear,Oversized Striped Shirt,White & Stripes,1,1,Male
Topwear,Solid Shirt,White,1,1,Male
Topwear,Solid Shirt,Beige,1,1,Male
Bottomwear,Linen Pants,White,1,1,Male
Bottomwear,Linen Pants,Beige,1,1,Male
Bottomwear,Wide-Leg Jeans,Light Blue,1,1,Male
Bottomwear,Wide-Leg Jeans,Dark Blue,1,1,Male
Bottomwear,Wide-Leg Jeans,White,1,1,Male
Bottomwear,Tailored Trousers,Beige,1,1,Male
Bottomwear,Slim-Fit Chinos,White,1,1,Male
Footwear,Sneakers,White,1,1,Male
Footwear,Sneakers,Beige,1,1,Male
Footwear,Oxfords,Light Brown,1,1,Male
Footwear,Moccasins,White,1,1,Male
Footwear,Moccasins,Beige,1,1,Male
Topwear,Floral Crop Top,Pastel Pink,1,3,Female
Topwear,Floral Crop Top,Pastel Lavender,1,3,Female
Topwear,Floral Crop Top,Pastel Blue,1,3,Female
Topwear,Tube Top,Pastel Pink,1,3,Female
Topwear,Tube Top,Pastel Blue,1,3,Female
Topwear,Solid Fitted Crop Top,Pastel Pink,1,3,Female
Topwear,Solid Fitted Crop Top,Pastel Blue,1,3,Female
Topwear,Solid Fitted Crop Top,Pastel White,1,3,Female
Topwear,A-Line Summer Dress,Pastel Pink,1,3,Female
Topwear,A-Line Summer Dress,Pastel Blue,1,3,Female
Topwear,Floral Dress,Pastel Pink,1,3,Female
Topwear,Floral Dress,White,1,3,Female
Topwear,Floral Dress,Pastel Yellow,1,3,Female
Bottomwear,Light Blue Denim Shorts,Light Blue,1,3,Female
Bottomwear,White Denim Shorts,White,1,3,Female
Bottomwear,White Denim Pants,White,1,3,Female
Bottomwear,Light Blue Denim Pants,Light Blue,1,3,Female
Footwear,White Sandals,White,1,3,Female
Footwear,Pink Sandals,Pink,1,3,Female
Footwear,White Flats,White,1,3,Female
Footwear,Beige Sneakers,Beige,1,3,Female
Footwear,White Sneakers,White,1,3,Female
Footwear,Light Blue Sneakers,Light Blue,1,3,Female
Accessories,White Handbag,White,1,3,Female
Accessories,Silver Chain Necklace,Silver,1,3,Female
