Gender,Height,Weight,SkinTone,BodyType,PreferredAestheticID,OccasionID
Male,Short,Overweight,Fair,Rectangle,2,1
Male,Short,Overweight,Fair,Rectangle,3,1
Male,Short,Overweight,Fair,Rectangle,1,1
Male,Short,Overweight,Fair,Triangle,2,1
Male,Short,Overweight,Fair,Triangle,3,1
Male,Short,Overweight,Fair,Triangle,1,1
Male,Short,Overweight,Fair,Pear,2,1
Male,Short,Overweight,Fair,Pear,3,1
Male,Short,Overweight,Fair,Pear,1,1
Male,Short,Overweight,Fair,Hourglass,2,1
Male,Short,Overweight,Fair,Hourglass,3,1
Male,Short,Overweight,Fair,Hourglass,1,1
Male,Short,Overweight,Fair,Inverted Triangle,2,1
Male,Short,Overweight,Fair,Inverted Triangle,3,1
Male,Short,Overweight,Fair,Inverted Triangle,1,1
Male,Short,Overweight,Fair,Oval,2,1
Male,Short,Overweight,Fair,Oval,3,1
Male,Short,Overweight,Fair,Oval,1,1
Male,Short,Overweight,Brown,Rectangle,2,1
Male,Short,Overweight,Brown,Rectangle,3,1
Male,Short,Overweight,Brown,Rectangle,1,1
Male,Short,Overweight,Brown,Triangle,2,1
Male,Short,Overweight,Brown,Triangle,3,1
Male,Short,Overweight,Brown,Triangle,1,1
Male,Short,Overweight,Brown,Pear,2,1
Male,Short,Overweight,Brown,Pear,3,1
Male,Short,Overweight,Brown,Pear,1,1
Male,Short,Overweight,Brown,Hourglass,2,1
Male,Short,Overweight,Brown,Hourglass,3,1
Male,Short,Overweight,Brown,Hourglass,1,1
Male,Short,Overweight,Brown,Inverted Triangle,2,1
Male,Short,Overweight,Brown,Inverted Triangle,3,1
Male,Short,Overweight,Brown,Inverted Triangle,1,1
Male,Short,Overweight,Brown,Oval,2,1
Male,Short,Overweight,Brown,Oval,3,1
Male,Short,Overweight,Brown,Oval,1,1
Male,Short,Overweight,Dark,Rectangle,2,1
Male,Short,Overweight,Dark,Rectangle,3,1
Male,Short,Overweight,Dark,Rectangle,1,1
Male,Short,Overweight,Dark,Triangle,2,1
Male,Short,Overweight,Dark,Triangle,3,1
Male,Short,Overweight,Dark,Triangle,1,1
Male,Short,Overweight,Dark,Pear,2,1
Male,Short,Overweight,Dark,Pear,3,1
Male,Short,Overweight,Dark,Pear,1,1
Male,Short,Overweight,Dark,Hourglass,2,1
Male,Short,Overweight,Dark,Hourglass,3,1
Male,Short,Overweight,Dark,Hourglass,1,1
Male,Short,Overweight,Dark,Inverted Triangle,2,1
Male,Short,Overweight,Dark,Inverted Triangle,3,1
Male,Short,Overweight,Dark,Inverted Triangle,1,1
Male,Short,Overweight,Dark,Oval,2,1
Male,Short,Overweight,Dark,Oval,3,1
Male,Short,Overweight,Dark,Oval,1,1
Male,Short,Fat,Fair,Rectangle,2,1
Male,Short,Fat,Fair,Rectangle,3,1
Male,Short,Fat,Fair,Rectangle,1,1
Male,Short,Fat,Fair,Triangle,2,1
Male,Short,Fat,Fair,Triangle,3,1
Male,Short,Fat,Fair,Triangle,1,1
Male,Short,Fat,Fair,Pear,2,1
Male,Short,Fat,Fair,Pear,3,1
Male,Short,Fat,Fair,Pear,1,1
Male,Short,Fat,Fair,Hourglass,2,1
Male,Short,Fat,Fair,Hourglass,3,1
Male,Short,Fat,Fair,Hourglass,1,1
Male,Short,Fat,Fair,Inverted Triangle,2,1
Male,Short,Fat,Fair,Inverted Triangle,3,1
Male,Short,Fat,Fair,Inverted Triangle,1,1
Male,Short,Fat,Fair,Oval,2,1
Male,Short,Fat,Fair,Oval,3,1
